"ID","time","lon","lat","ID_old","centre_lon","centre_lat","d2c"
"4182444-1",2011-12-15 15:43:29,-10.24965453,-62.11860402,4182444,3.048437314,-69.95912459,1.05700953211103
"4182444-1",2011-12-15 16:13:29,-9.863411921,-61.91547108,4182444,3.048437314,-69.95912459,1.06748100925607
"4182444-1",2011-12-15 16:43:29,-9.551796611,-61.69366945,4182444,3.048437314,-69.95912459,1.08208729687346
"4182444-1",2011-12-15 17:13:29,-9.453446031,-61.41684954,4182444,3.048437314,-69.95912459,1.10754325317424
"4182444-1",2011-12-15 17:43:29,-9.340480951,-61.14793261,4182444,3.048437314,-69.95912459,1.13211243128855
"4182444-1",2011-12-15 18:13:29,-9.201950772,-60.94604651,4182444,3.048437314,-69.95912459,1.14952333167382
"4182444-1",2011-12-15 18:43:29,-9.063297894,-60.80355276,4182444,3.048437314,-69.95912459,1.16102537044698
"4182444-1",2011-12-15 19:13:29,-8.908765657,-60.6061096,4182444,3.048437314,-69.95912459,1.17793802314297
"4182444-1",2011-12-15 19:43:29,-8.731400808,-60.39930221,4182444,3.048437314,-69.95912459,1.19550753149227
"4182444-1",2011-12-15 20:13:29,-8.515679683,-60.22172178,4182444,3.048437314,-69.95912459,1.20945683279559
"4182444-1",2011-12-15 20:43:29,-8.370067373,-60.00838416,4182444,3.048437314,-69.95912459,1.22870957098076
"4182444-1",2011-12-15 21:13:29,-8.25347229,-59.81594739,4182444,3.048437314,-69.95912459,1.24649380091964
"4182444-1",2011-12-15 21:43:29,-8.086794909,-59.58473357,4182444,3.048437314,-69.95912459,1.26749906966662
"4182444-1",2011-12-15 22:13:29,-7.902492665,-59.36371516,4182444,3.048437314,-69.95912459,1.28727664217268
"4182444-1",2011-12-15 22:43:29,-7.7169974,-59.14542268,4182444,3.048437314,-69.95912459,1.3069182591459
"4182444-1",2011-12-15 23:13:29,-7.502378809,-58.93361867,4182444,3.048437314,-69.95912459,1.32552576635504
"4182444-1",2011-12-15 23:43:29,-7.251568982,-58.74214832,4182444,3.048437314,-69.95912459,1.34153414722391
"4182444-1",2011-12-16 00:13:29,-7.063538926,-58.54523655,4182444,3.048437314,-69.95912459,1.35936272162378
"4182444-1",2011-12-16 00:43:29,-6.892960439,-58.35250773,4182444,3.048437314,-69.95912459,1.3771645727572
"4182444-1",2011-12-16 01:13:29,-6.742902355,-58.16503793,4182444,3.048437314,-69.95912459,1.39484494307707
"4182444-1",2011-12-16 01:43:29,-6.639042743,-58.05146285,4182444,3.048437314,-69.95912459,1.40540087254387
"4182444-1",2011-12-16 02:13:29,-6.574577309,-58.00254869,4182444,3.048437314,-69.95912459,1.40965345761924
"4182444-1",2011-12-16 02:43:29,-6.484358991,-58.00866231,4182444,3.048437314,-69.95912459,1.40760369187299
"4182444-1",2011-12-16 03:13:29,-6.393378429,-58.04541795,4182444,3.048437314,-69.95912459,1.40225606340261
"4182444-1",2011-12-16 03:43:29,-6.338625147,-58.06446119,4182444,3.048437314,-69.95912459,1.39937268085722
"4182444-1",2011-12-16 04:13:29,-6.329892748,-58.05279771,4182444,3.048437314,-69.95912459,1.40049533259997
"4182444-1",2011-12-16 04:43:29,-6.314153274,-58.03485411,4182444,3.048437314,-69.95912459,1.40218820085792
"4182444-1",2011-12-16 05:13:29,-6.29907051,-58.01235065,4182444,3.048437314,-69.95912459,1.40438293257151
"4182444-1",2011-12-16 05:43:29,-6.287439411,-58.00075301,4182444,3.048437314,-69.95912459,1.40545626244573
"4182444-1",2011-12-16 06:13:29,-6.238024513,-58.02797994,4182444,3.048437314,-69.95912459,1.40177975413879
"4182444-1",2011-12-16 06:43:29,-6.218892343,-58.03564477,4182444,3.048437314,-69.95912459,1.40066673446867
"4182444-1",2011-12-16 07:13:29,-6.210163096,-58.03257467,4182444,3.048437314,-69.95912459,1.40086651587996
"4182444-1",2011-12-16 07:43:29,-6.198598379,-58.02986429,4182444,3.048437314,-69.95912459,1.40098522610714
"4182444-1",2011-12-16 08:13:29,-6.191756303,-58.02167398,4182444,3.048437314,-69.95912459,1.40176529099093
"4182444-1",2011-12-16 08:43:29,-6.177066739,-58.02430153,4182444,3.048437314,-69.95912459,1.40126254604574
"4182444-1",2011-12-16 09:13:29,-6.143035271,-58.0557747,4182444,3.048437314,-69.95912459,1.39736289129443
"4182444-1",2011-12-16 09:43:29,-6.137914364,-58.05180939,4182444,3.048437314,-69.95912459,1.39771388868335
"4182444-1",2011-12-16 10:13:29,-6.136920886,-58.03542939,4182444,3.048437314,-69.95912459,1.39946449111033
"4182444-1",2011-12-16 10:43:29,-6.127402931,-58.02931813,4182444,3.048437314,-69.95912459,1.39998157165569
"4182444-1",2011-12-16 11:13:29,-6.079468946,-58.03884226,4182444,3.048437314,-69.95912459,1.39824343070084
"4182444-1",2011-12-16 11:43:29,-6.089828206,-58.03757496,4182444,3.048437314,-69.95912459,1.39853355454367
"4182444-1",2011-12-16 12:13:29,-6.094368527,-58.03199415,4182444,3.048437314,-69.95912459,1.39920255779272
"4182444-1",2011-12-16 12:43:29,-6.089600671,-58.02600585,4182444,3.048437314,-69.95912459,1.39977754316491
"4182444-1",2011-12-16 13:13:29,-6.085922803,-58.01987769,4182444,3.048437314,-69.95912459,1.40038383848116
"4182444-1",2011-12-16 13:43:29,-6.083017144,-58.01404055,4182444,3.048437314,-69.95912459,1.40097024950535
"4182444-1",2011-12-16 14:13:29,-6.080300372,-58.0083985,4182444,3.048437314,-69.95912459,1.40153847021482
"4182444-1",2011-12-16 14:43:29,-6.07939269,-58.00305346,4182444,3.048437314,-69.95912459,1.40210145267529
"4182444-1",2011-12-16 15:13:29,-6.078944933,-57.99893363,4182444,3.048437314,-69.95912459,1.40253912449995
"4182444-1",2011-12-16 15:43:29,-6.084338212,-57.9911092,4182444,3.048437314,-69.95912459,1.40346265711418
"4182444-1",2011-12-16 16:13:29,-6.108179747,-57.95910564,4182444,3.048437314,-69.95912459,1.40726661411582
"4182444-1",2011-12-16 16:43:29,-6.18980536,-57.85048717,4182444,3.048437314,-69.95912459,1.42018970671639
"4182444-1",2011-12-16 17:13:29,-6.28266995,-57.70973191,4182444,3.048437314,-69.95912459,1.43674919727533
"4182444-1",2011-12-16 17:43:29,-6.364432471,-57.62023884,4182444,3.048437314,-69.95912459,1.44761891012147
"4182444-1",2011-12-16 18:13:29,-6.368221757,-57.58370751,4182444,3.048437314,-69.95912459,1.45161529951598
"4182444-1",2011-12-16 18:43:29,-6.252604992,-57.59796616,4182444,3.048437314,-69.95912459,1.44836225225138
"4182444-1",2011-12-16 19:13:29,-6.104597893,-57.62919714,4182444,3.048437314,-69.95912459,1.44282075854548
"4182444-1",2011-12-16 19:43:29,-6.132436387,-57.57551966,4182444,3.048437314,-69.95912459,1.44902424355235
"4182444-1",2011-12-16 20:13:29,-6.15211317,-57.58975302,4182444,3.048437314,-69.95912459,1.44777389460906
"4182444-1",2011-12-16 20:43:29,-6.203553542,-57.63956937,4182444,3.048437314,-69.95912459,1.44314920661836
"4182444-1",2011-12-16 21:13:29,-6.253351405,-57.63985483,4182444,3.048437314,-69.95912459,1.44385275969392
"4182444-1",2011-12-16 21:43:29,-6.278611437,-57.65334247,4182444,3.048437314,-69.95912459,1.44277149131197
"4182444-1",2011-12-16 22:13:29,-6.300633638,-57.66858171,4182444,3.048437314,-69.95912459,1.44145461240027
"4182444-1",2011-12-16 22:43:29,-6.133732976,-57.74220831,4182444,3.048437314,-69.95912459,1.43104439483398
"4182444-1",2011-12-16 23:13:29,-6.080259418,-57.75123768,4182444,3.048437314,-69.95912459,1.42928649513275
"4182444-1",2011-12-16 23:43:29,-6.060172319,-57.74459865,4182444,3.048437314,-69.95912459,1.42971022019179
"4182444-1",2011-12-17 00:13:29,-5.990170491,-57.76854695,4182444,3.048437314,-69.95912459,1.42610627638192
"4182444-1",2011-12-17 00:43:29,-5.892191064,-57.80331866,4182444,3.048437314,-69.95912459,1.4209351871095
"4182444-1",2011-12-17 01:13:29,-5.774372483,-57.84199975,4182444,3.048437314,-69.95912459,1.41506875562191
"4182444-1",2011-12-17 01:43:29,-5.730219158,-57.8678238,4182444,3.048437314,-69.95912459,1.41164892386153
"4182444-1",2011-12-17 02:13:29,-5.717054658,-57.85675824,4182444,3.048437314,-69.95912459,1.41265922646485
"4182444-1",2011-12-17 02:43:29,-5.700622682,-57.84826809,4182444,3.048437314,-69.95912459,1.41334527521857
"4182444-1",2011-12-17 03:13:29,-5.702646349,-57.82691878,4182444,3.048437314,-69.95912459,1.41568348790895
"4182444-1",2011-12-17 03:43:29,-5.685235966,-57.81829867,4182444,3.048437314,-69.95912459,1.41637069627178
"4182444-1",2011-12-17 04:13:29,-5.661077362,-57.81280595,4182444,3.048437314,-69.95912459,1.41662534204306
"4182444-1",2011-12-17 04:43:29,-5.639724291,-57.80670691,4182444,3.048437314,-69.95912459,1.41698595513731
"4182444-1",2011-12-17 05:13:29,-5.587305809,-57.82046965,4182444,3.048437314,-69.95912459,1.41476359010059
"4182444-1",2011-12-17 05:43:29,-5.527323757,-57.83081999,4182444,3.048437314,-69.95912459,1.41280907136703
"4182444-1",2011-12-17 06:13:29,-5.49778124,-57.82907895,4182444,3.048437314,-69.95912459,1.41258887603354
